Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
YI,"111, Inc.",6.49,$529.96M,2018,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/yi
PIH,"1347 Property Insurance Holdings, Inc.",5.5,$33.07M,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih
PIHPP,"1347 Property Insurance Holdings, Inc.",24.77,$17.34M,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp
TURN,180 Degree Capital Corp.,1.9854,$61.79M,n/a,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn
FLWS,"1-800 FLOWERS.COM, Inc.",19.52,$1.26B,1999,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws
BCOW,"1895 Bancorp of Wisconsin, Inc.",9.3662,$45.68M,2019,Finance,Banks,https://www.nasdaq.com/symbol/bcow
FCCY,1st Constitution Bancorp (NJ),18.87,$162.8M,n/a,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy
SRCE,1st Source Corporation,44.72,$1.15B,n/a,Finance,Major Banks,https://www.nasdaq.com/symbol/srce
VNET,"21Vianet Group, Inc.",7.64,$858.68M,2011,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet
TWOU,"2U, Inc.",37.64,$2.37B,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou
QFIN,"360 Finance, Inc.",13.79,$1.98B,2018,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/qfin
JOBS,"51job, Inc.",74.65,$4.66B,2004,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs
JFK,8i Enterprises Acquisition Corp,9.91,$73.61M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfk
JFKKR,8i Enterprises Acquisition Corp,0.28,n/a,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkr
JFKKU,8i Enterprises Acquisition Corp,10.32,$51.6M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkku
JFKKW,8i Enterprises Acquisition Corp,0.198,$1.14M,2019,Finance,Business Services,https://www.nasdaq.com/symbol/jfkkw
EGHT,8x8 Inc,23.85,$2.3B,n/a,Technology,EDP Services,https://www.nasdaq.com/symbol/eght
AAON,"AAON, Inc.",48.11,$2.51B,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon
